;Term 1;Term 2;Term 3;Term 4;Term 5;Term 6;Term 7;Term 8;Term 9;Term 10;Term 11;Term 12;Term 13;Term 14;Term 15;Term 16;Term 17;Term 18;Term 19;Term 20
Topic 1;transaxle;gear;drive;wheel;involute;disk;central;plurality;shaft;road;clamp;differential;axis;direction;moveable;double;face;tooth;include;pinion
Topic 2;stack;button;ring;plurality;retainer;material;active;couple;component;outputshaft;actuator;device;comprise;method;planar;spring;metal;mechanical;transmission;include
Topic 3;ratio;speed;cvt;variator;control;input;method;determine;base;command;include;desire;comprise;change;response;force;rate;secondary;controller;primary
Topic 4;zone;casing;extend;cavity;locate;transmission;wall;inverter;module;power;platform;ground;set;include;define;rib;minimum;system;lid;vehicle
Topic 5;valve;dogclutch;pilot;gear;mem;portion;comprise;set;configure;position;component;include;point;channel;rotary;transmission;coolant;assembly;speed;inflection
Topic 6;rate;gear;predetermine;change;position;method;determine;transmission;control;shift;vehicle;enable;throttle;pedal;comprise;command;exceed;positive;module;start
Topic 7;passage;apply;fluid;communication;bore;mechanism;port;chamber;input;plurality;dam;torquetransmit;channel;house;annular;interconnect;portion;multispeedtransmission;transmission;sensor
Topic 8;axis;transfer;rotate;carrier;rotation;ringgear;sungear;torque;shaft;operatively;configure;differential;piniongear;rotatably;input;mesh;connect;collar;compound;comprise
Topic 9;layshaft;default;gearwheel;gear;assembly;signal;reverse;drive;regulation;plurality;inputshaft;valve;comprise;arrange;manual;hydraulic;position;exhaust;select;clutch
Topic 10;clutch;dct;gear;transmission;speed;input;inputshaft;controller;control;oncoming;vehicle;power;engine;calibrate;engage;method;slip;detect;magnitude;downshift
Topic 11;bearing;rotor;hub;connection;support;portion;rotation;crankshaft;motor;roller;connect;annular;assembly;relative;thrust;direction;electricmotor;comprise;segment;extend
Topic 12;time;threshold;engine;acceleration;direction;determine;rotational;level;amount;oil;sowc;method;base;slope;capacity;comprise;period;system;reach;operate
Topic 13;stator;angle;cavity;piece;annular;component;comprise;flange;side;internal;itoc;selectively;output;clutch;sprocket;case;transfer;mount;outlet;portion
Topic 14;pressure;hydraulic;command;control;monitor;comprise;method;device;fill;circuit;system;clutch;time;base;selectively;transmission;determine;switch;adapt;operation
Topic 15;node;device;engine;connect;powertrain;planetarygearset;hybrid;transmission;operatively;motorgenerator;launch;drive;torquetransmit;vehicle;brake;engage;output;engageable;comprise;include
Topic 16;gear;inputshaft;outputshaft;motorgenerator;rotatable;drive;couple;rotationally;include;shaft;engage;powertrain;axis;starter;rotational;comprise;clutch;engine;connect;torque
Topic 17;control;fluid;valve;solenoid;hydraulic;clutch;communication;actuator;pressure;system;output;flow;assembly;downstream;pressurize;plurality;synchronizer;subsystem;input;include
Topic 18;position;motor;angular;module;central;output;system;velocity;couple;speed;barrel;disk;cradle;control;drive;vehicle;acceleration;design;set;cycloid
Topic 19;position;pawl;chamber;engage;park;tooth;include;dispose;disengage;longitudinal;set;slot;assembly;rod;gear;axis;lock;move;bias;define
Topic 20;oil;pressurize;body;plunger;shifter;function;reservoir;comprise;region;portion;audio;house;assembly;channel;circuit;device;system;steer;storage;lube
Topic 21;detent;shift;position;assembly;output;plurality;gear;include;recess;block;lever;actuator;strut;axially;dispose;manualtransmission;selection;couple;collar;actuate
Topic 22;path;ball;actuation;time;piston;screw;engage;fluid;define;initial;predefine;target;return;nut;measure;direction;pressure;synchronizer;position;movement
Topic 23;position;shift;synchronizer;lever;portion;actuator;fork;gear;dispose;plate;assembly;engage;direction;neutral;cam;configure;shaft;include;rotational;pivot
Topic 24;drive;unit;chain;sprocket;dispose;driveshaft;gear;connect;final;power;motorvehicle;include;baffle;assembly;couple;continuouslyvariable;transmission;driving;output;house
Topic 25;cam;gear;follower;wear;roller;plug;neutral;surface;include;notch;rack;comprise;adjust;park;synchronization;bit;guide;bias;circuit;pattern
Topic 26;differential;expect;half;low;speed;cdrs;high;verify;cdr;shaft;predetermine;define;counter;multiply;vehicle;sum;operate;total;range;include
Topic 27;operate;output;powertrain;control;comprise;speed;system;input;transition;engine;method;brake;operation;associate;mode;couple;plurality;transmission;parameter;driveline
Topic 28;vehicle;clutch;speed;transmission;binary;assembly;controller;include;engine;calibrate;shift;method;plurality;request;threshold;determine;brake;slip;command;connect
Topic 29;transmit;torque;configure;planetary;operatively;device;condition;rotation;couple;unitary;rotor;therewith;selectively;system;temperature;comprise;planetarycarrier;motor;ignition;ringgear
Topic 30;transmission;vehicle;controller;internal;combustion;engine;speedratio;torque;configure;command;method;change;signal;speed;comprise;threshold;input;propulsion;electricmotor;include
Topic 31;gearset;connect;variable;transmission;electrically;device;torque;continuously;motorgenerator;selectively;mode;transfer;input;external;ratio;planetarygearset;speed;carrier;reverse;output
Topic 32;plurality;spline;planetarycarrier;include;shaft;house;opening;stub;clutch;dispose;lubrication;engage;machine;comprise;passageway;extend;mechanical;lift;planetgear;adapt
Topic 33;torque;engine;clutch;control;output;determine;target;command;request;desire;logic;method;offgoing;actual;transmission;controller;select;minimum;inertia;profile
Topic 34;axle;house;rear;front;motor;configure;carrier;pinion;side;extend;tube;center;define;shiftable;axis;comprise;automatically;lower;prevent;web
Topic 35;gear;plane;dispose;engage;shaft;start;centripetal;remote;side;operably;configure;balance;output;couple;disconnect;plurality;include;adjacent;plate;main
Topic 36;area;planetarygearset;clutch;wall;dispose;locate;transmission;brake;radially;sungear;ringgear;house;axially;periphery;outer;planetarycarrier;bound;couple;define;transfer
Topic 37;ring;drum;piston;assembly;band;primary;house;outputshaft;finger;extend;opening;configure;aluminum;washer;piniongear;circumferential;comprise;brake;space;planetarycarrier
Topic 38;torque;input;output;directly;phase;mover;prime;ratio;generate;configure;start;connect;transmission;vehicle;outputshaft;electricmachine;comprise;controller;clutch;device
Topic 39;case;transmission;aperture;communication;tube;block;configure;wire;electronic;sensor;seal;house;input;controller;assembly;define;comprise;computer;plug;sump
Topic 40;inner;outer;gear;occupant;carrier;surface;shaft;synchronizer;reversegear;joint;spider;locate;distal;seat;portion;include;extend;moveable;spline;side
Topic 41;speed;engine;module;control;method;base;transmission;determine;vehicle;torque;system;comprise;predetermine;request;desire;downshift;power;driver;amount;increase
Topic 42;planetarygearset;connect;device;torquetransmit;selectively;continuously;transmission;speed;input;interconnect;output;ratio;stationary;sungear;ringgear;planetarycarrier;comprise;assembly;forward;rotary
Topic 43;range;transmission;operate;device;clutch;mode;park;comprise;activate;include;electronic;couple;selector;plurality;cvu;request;torque;rotatably;predetermine;controller
Topic 44;planetarygearset;interconnect;transmit;torque;engageable;selectively;transmission;continuously;mechanism;input;output;sungear;carrier;stationary;device;ringgear;speed;ratio;forward;establish
Topic 45;pump;hydraulic;speed;base;hydraulicpressure;control;determine;include;system;dual;torque;engine;operate;transmission;comprise;flywheel;method;flow;internal;motor
Topic 46;signal;sensor;position;system;park;control;transmission;vehicle;module;range;shift;receive;selection;configure;comprise;base;electronic;generate;method;engine
Topic 47;shift;mode;gear;transmission;include;speed;clutch;initial;method;target;automatictransmission;automatic;adjust;relationship;operation;control;operate;condition;execute;engage
Topic 48;portion;house;include;dispose;assembly;differential;surface;define;axis;extend;side;body;support;open;vent;wall;cavity;couple;attach;face
Topic 49;spring;lock;damp;position;engine;transmission;park;vibration;cage;connect;manual;inhibit;couple;torsional;motorvehicle;device;support;include;multi;contact
Topic 50;gear;transmission;gearset;countershaft;assembly;input;house;clutch;selectively;synchronizer;connect;include;dualclutch;rotatably;mesh;rotation;common;support;transfer;connectable
Topic 51;clutch;plate;rotate;piston;dispose;axial;apply;transmission;assembly;include;friction;bias;spring;component;surface;rotation;force;disc;input;house
Topic 52;torqueconverter;clutch;turbine;connect;source;point;junction;fluid;power;geartrain;isolator;configure;pump;include;define;damp;system;engage;comprise;dispose
Topic 53;fault;flow;comprise;management;method;belt;monitor;factor;vehicle;system;operation;base;detect;configure;adapt;determine;power;life;controller;instantaneous
Topic 54;mechanism;torquetransmit;planetarygearset;selectively;rotation;ratio;common;speed;transmission;engagable;connect;forward;carrier;multispeedtransmission;sungear;interconnect;ringgear;define;input;continuously
Topic 55;coordinate;clamp;mode;term;lock;slip;predetermine;pressure;engine;module;error;test;fast;method;determine;target;sensor;hard;low;base
Topic 56;clutch;transmission;seal;drive;ring;engage;device;ramp;comprise;hold;configure;rate;synchronization;progressive;maximum;slip;circuit;torqueconverter;cover;forward
Topic 57;electricmachine;temperature;engine;flow;cool;control;comprise;transmission;coolant;method;clutch;determine;device;monitor;fluid;circuit;system;heat;soc;base
Topic 58;position;transmission;target;control;switch;electricmotor;open;close;module;house;spring;actuator;damp;hydraulic;fluid;bell;ratio;determine;roc;force
Topic 59;axial;radial;bore;linkage;link;shift;dispose;fluid;flow;assembly;orifice;passage;chamber;open;form;transmission;align;proximate;channel;house
Topic 60;piniongear;sungear;mesh;ringgear;carrier;support;tooth;rotatably;rotation;surface;outer;radially;rotatable;annulargear;inner;axis;transmission;engageable;define;stationary
Topic 61;motorgenerator;mode;connect;operate;mechanism;output;engine;rotation;torquetransmit;input;electric;common;powertrain;electricallyvariable;operatively;motor;power;selectively;planetarygearset;engage
Topic 62;tensioner;drive;belt;engine;accessory;pulley;system;arm;assembly;bias;chain;pivot;mount;include;extend;comprise;bracket;locate;force;engage
Topic 63;sense;motorvehicle;connector;lower;upper;include;device;circuit;open;receiver;define;dock;torque;port;electric;transmitter;electrical;controller;comprise;dispose
Topic 64;valve;pressure;fluid;transmission;control;main;pump;regulator;communication;system;solenoid;auxiliary;switch;comprise;position;trim;hydraulic;method;supply;include
Topic 65;pulley;cvt;sheave;tooth;include;device;plurality;rotatable;define;endless;body;position;support;sufficient;relative;center;displacement;dispose;tube;couple
Topic 66;fluid;temperature;transmission;accumulator;pump;sump;vehicle;system;volume;controller;include;method;component;time;determine;discharge;predetermine;comprise;reservoir;auxiliary
Topic 67;piston;bore;race;engagement;assembly;portion;cylinder;fluid;disc;define;rotation;central;plurality;annular;inner;dispose;wall;direction;seal;extend
Topic 68;actuator;fork;fluid;force;position;method;apply;presynchronization;pressure;control;controller;velocity;comprise;predetermine;camshaftdrive;piston;synchronizer;define;include;phase
Topic 69;assembly;planetarygear;automatictransmission;planetgear;sungear;connect;ringgear;couple;brake;input;carrier;plurality;include;multispeed;output;selectively;clutch;torque;planetarycarrier;transmit
Topic 70;gear;coplanar;intermediate;intermesh;transfer;output;rotation;countershaft;input;connect;common;shaft;torque;selectively;synchronizer;gearset;plurality;include;inputshaft;engageable
Topic 71;pinion;outer;surface;inner;portion;bearing;assembly;dispose;diameter;include;pin;cylindrical;planetarycarrier;passage;shaft;groove;lubrication;locate;communication;define
Topic 72;shaft;sleeve;transmission;comprise;concentric;partially;actuate;lash;position;axially;fastener;power;connect;house;main;electromechanical;head;seal;assembly;coaxial
Topic 73;valve;hydraulic;fluid;port;communication;controldevice;accumulator;regulator;position;system;control;pressurize;relay;source;transmit;allow;device;spool;torque;open
Topic 74;fluid;cavity;configure;spool;temperature;position;flow;transmission;material;house;cool;device;valve;actuator;dispose;include;receive;wire;passage;set
Topic 75;mechanism;guide;surface;shape;variable;hinge;side;movement;product;radius;include;comprise;compartment;close;anchor;move;rotate;position;cam;clip
Topic 76;gearratio;transmission;arrangement;final;powertrain;set;method;unit;vehicle;define;comprise;input;speed;output;wheel;time;operable;motorgenerator;control;include
Topic 77;clutch;slip;apply;pressure;frictionclutch;method;configure;plurality;point;torque;include;range;binary;predetermine;comprise;system;control;input;gain;primary
Topic 78;latch;mount;direction;pin;engage;bolt;configure;device;slide;include;house;structure;piniongear;lock;surface;comprise;motorvehicle;accessory;rotational;method
Topic 79;respective;planetarygearset;couple;selectively;include;mechanically;device;ground;engageable;clutch;input;electricmachine;reduction;transmission;rotation;module;output;dispose;comprise;idle
Topic 80;mechanical;connect;pedal;assembly;operatively;mechanism;temperature;electric;comprise;crankshaft;motor;direction;output;mode;powertrain;rotation;cycle;torque;rear;ringgear
Topic 81;valve;port;outlet;control;fluid;assembly;position;hydraulic;logic;system;inlet;solenoid;connect;communication;pressure;include;piston;pressurize;communicate;flow
Topic 82;torque;control;transmission;shift;friction;engine;hold;clutch;error;device;estimate;method;stage;determine;comprise;spring;calculate;coming;time;execute
Topic 83;gearset;gear;interconnect;selectively;connect;transmission;countershaft;assembly;input;output;synchronizer;continuously;ratio;speed;include;reverse;adjacent;forward;engageable;connectable
